plane.obj
688: x: 0, y: 81, z: 225
689: x: 0, y: 81, z: 226
690: x: 0, y: 81, z: 227
691: x: 0, y: 81, z: 228
692: x: 0, y: 82, z: 216
693: x: 0, y: 82, z: 217
694: x: 0, y: 82, z: 218
695: x: 0, y: 82, z: 219
696: x: 0, y: 82, z: 220
697: x: 0, y: 82, z: 221
698: x: 0, y: 82, z: 222
699: x: 0, y: 82, z: 223
700: x: 0, y: 82, z: 224
701: x: 0, y: 82, z: 225
702: x: 0, y: 82, z: 226
703: x: 0, y: 82, z: 227
704: x: 0, y: 82, z: 228
705: x: 0, y: 83, z: 217
706: x: 0, y: 83, z: 218
707: x: 0, y: 83, z: 219
708: x: 0, y: 83, z: 220
709: x: 0, y: 83, z: 221
710: x: 0, y: 83, z: 222
711: x: 0, y: 83, z: 223
712: x: 0, y: 83, z: 224
713: x: 0, y: 83, z: 225
714: x: 0, y: 83, z: 226
715: x: 0, y: 83, z: 227
716: x: 0, y: 83, z: 228
717: x: 0, y: 84, z: 218
718: x: 0, y: 84, z: 219
719: x: 0, y: 84, z: 220
720: x: 0, y: 84, z: 221
721: x: 0, y: 84, z: 222
722: x: 0, y: 84, z: 223
723: x: 0, y: 84, z: 224
724: x: 0, y: 84, z: 225
725: x: 0, y: 84, z: 226
726: x: 0, y: 84, z: 227
727: x: 0, y: 84, z: 228
728: x: 0, y: 85, z: 219
729: x: 0, y: 85, z: 220
730: x: 0, y: 85, z: 221
731: x: 0, y: 85, z: 222
732: x: 0, y: 85, z: 223
733: x: 0, y: 85, z: 224
734: x: 0, y: 85, z: 225
735: x: 0, y: 85, z: 226
736: x: 0, y: 85, z: 227
737: x: 0, y: 85, z: 228
738: x: 0, y: 86, z: 220
739: x: 0, y: 86, z: 221
740: x: 0, y: 86, z: 222
741: x: 0, y: 86, z: 223
742: x: 0, y: 86, z: 224
743: x: 0, y: 86, z: 225
744: x: 0, y: 86, z: 226
745: x: 0, y: 86, z: 227
746: x: 0, y: 86, z: 228
747: x: 0, y: 87, z: 221
748: x: 0, y: 87, z: 222
749: x: 0, y: 87, z: 223
750: x: 0, y: 87, z: 224
751: x: 0, y: 87, z: 225
752: x: 0, y: 87, z: 226
753: x: 0, y: 87, z: 227
754: x: 0, y: 87, z: 228
755: x: 0, y: 88, z: 222
756: x: 0, y: 88, z: 223
757: x: 0, y: 88, z: 224
758: x: 0, y: 88, z: 225
759: x: 0, y: 88, z: 226
760: x: 0, y: 88, z: 227
761: x: 0, y: 88, z: 228
762: x: 0, y: 89, z: 223
763: x: 0, y: 89, z: 224
764: x: 0, y: 89, z: 225
765: x: 0, y: 89, z: 226
766: x: 0, y: 89, z: 227
767: x: 0, y: 89, z: 228
768: x: 0, y: 90, z: 224
769: x: 0, y: 90, z: 225
770: x: 0, y: 90, z: 226
771: x: 0, y: 90, z: 227
772: x: 0, y: 90, z: 228
773: x: 0, y: 91, z: 225
774: x: 0, y: 91, z: 226
775: x: 0, y: 91, z: 227
776: x: 0, y: 91, z: 228
777: x: 0, y: 92, z: 226
778: x: 0, y: 92, z: 227
779: x: 0, y: 92, z: 228
780: x: 0, y: 93, z: 227
781: x: 0, y: 93, z: 228
782: x: 0, y: 94, z: 228
783: x: 0, y: 95, z: 207
784: x: 0, y: 95, z: 208
785: x: 0, y: 95, z: 209
786: x: 0, y: 95, z: 210
787: x: 0, y: 95, z: 211
788: x: 0, y: 95, z: 212
789: x: 0, y: 95, z: 213
790: x: 0, y: 95, z: 214
791: x: 0, y: 95, z: 215
792: x: 0, y: 95, z: 216
793: x: 0, y: 95, z: 217
794: x: 0, y: 95, z: 218
795: x: 0, y: 95, z: 219
796: x: 0, y: 95, z: 220
797: x: 0, y: 95, z: 221
798: x: 0, y: 95, z: 222
799: x: 0, y: 95, z: 223
